,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
91,BARI11,Títulos e Val. Mob.,"R$ 101,85",8312.0,"R$ 1,10","1,07%","3,41%","6,80%","12,81%","1,14%","1,13%","1,07%","2,11%","-1,67%","-0,62%","0,42%","R$ 470.871.857,99","R$ 101,61","1,00","1,08%","0,08%","1,16%","2,26%",N/A,N/A,0
92,HLOG11,Logística,"R$ 88,14",6756.0,"R$ 0,65","0,71%","2,07%","3,94%","7,28%","0,69%","0,66%","0,61%","1,41%","-1,33%","-0,63%","0,06%","R$ 478.192.752,62","R$ 112,52","0,78","0,58%","-0,09%","0,49%","1,07%","58,00%","0,00%",3
93,BLMO11,Lajes Corporativas,"R$ 25.993,81",8.0,"R$ 5,17","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,02%","0,00%","0,02%","0,02%","R$ 110.765.375,33","R$ 29.171,81","0,89","0,02%","11,17%","11,19%","11,26%","0,00%",N/A,1
94,MXRF11,Híbrido,"R$ 9,07",433062.0,"R$ 0,09","0,98%","2,86%","5,35%","9,71%","0,95%","0,89%","0,81%","1,97%","1,32%","2,31%","3,32%","R$ 2.303.195.572,46","R$ 10,19","0,89","0,88%","-0,52%","0,36%","1,24%",N/A,N/A,0
95,JSRE11,Híbrido,"R$ 73,24",39006.0,"R$ 0,53","0,69%","1,99%","4,13%","7,67%","0,66%","0,69%","0,64%","1,35%","-3,04%","-2,38%","-1,73%","R$ 2.368.106.428,64","R$ 114,03","0,64","0,46%","-0,01%","0,45%","0,92%","13,80%","12,40%",5
96,HFOF11,Títulos e Val. Mob.,"R$ 74,29",27577.0,"R$ 0,60","0,78%","2,27%","4,47%","8,18%","0,76%","0,74%","0,68%","1,54%","-2,54%","-1,78%","-1,04%","R$ 1.931.049.373,41","R$ 84,01","0,88","0,71%","-0,82%","-0,11%","0,60%",N/A,N/A,0
97,RBRD11,Híbrido,"R$ 48,12",2441.0,"R$ 1,37","2,69%","3,52%","4,64%","5,15%","1,17%","0,77%","0,43%","3,11%","18,58%","21,77%","22,28%","R$ 131.604.318,70","R$ 71,07","0,68","1,93%","-1,62%","0,28%","0,53%","15,52%",N/A,4
98,QAMI11,Híbrido,"R$ 95,23",338.0,"R$ 1,21","1,25%","4,12%","8,54%","0,00%","1,37%","1,42%","0,00%","2,52%","-2,06%","-0,84%","0,42%","R$ 72.067.259,47","R$ 89,93","1,06","1,40%","0,00%","1,40%","1,40%",N/A,N/A,0
99,JPPA11,Títulos e Val. Mob.,"R$ 98,25",2297.0,"R$ 1,50","1,52%","4,18%","7,61%","13,71%","1,39%","1,27%","1,14%","2,75%","1,04%","2,57%","3,84%","R$ 62.912.690,40","R$ 104,17","0,94","1,44%","-1,62%","-0,21%","0,92%",N/A,N/A,0
100,HAAA11,Lajes Corporativas,"R$ 95,85",3.0,"R$ 0,54","0,56%","1,69%","3,40%","6,52%","0,56%","0,57%","0,54%","1,13%","0,20%","0,76%","1,33%","R$ 327.078.058,40","R$ 94,67","1,01","0,57%","-0,15%","0,42%","0,99%","17,00%",N/A,1
101,PATL11,Híbrido,"R$ 73,68",21053.0,"R$ 0,58","0,74%","2,27%","4,82%","8,84%","0,76%","0,80%","0,74%","1,51%","3,27%","4,04%","4,84%","R$ 489.804.878,58","R$ 98,13","0,75","0,59%","0,10%","0,69%","1,29%","0,00%","0,00%",4
102,JFLL11,Residencial,"R$ 71,42",1878.0,"R$ 0,62","0,83%","2,42%","5,02%","9,10%","0,81%","0,84%","0,76%","1,61%","-4,48%","-3,69%","-2,93%","R$ 150.282.517,11","R$ 100,15","0,71","0,62%","0,03%","0,65%","1,27%","28,00%",N/A,2
103,XPPR11,Outros,"R$ 54,80",23523.0,"R$ 0,45","0,77%","2,28%","4,90%","9,36%","0,76%","0,82%","0,78%","1,47%","-8,24%","-7,54%","-6,89%","R$ 577.562.461,09","R$ 78,94","0,69","0,57%","-3,56%","-3,01%","-2,48%","46,00%",N/A,4
104,PLOG11,Logística,"R$ 72,15",286.0,"R$ 0,78","1,08%","3,09%","5,87%","0,00%","1,03%","0,98%","0,00%","2,12%","-3,92%","-2,88%","-1,87%","R$ 75.169.048,30","R$ 100,23","0,72","0,78%","-0,05%","0,73%","1,51%","20,40%",N/A,1
105,CYCR11,,"R$ 99,99",52.0,"R$ 1,15","1,15%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,29%","-0,82%","0,32%","1,46%","R$ 60.293.805,33","R$ 94,34","1,06","1,22%","0,00%","1,22%","1,22%",N/A,N/A,0
106,XPCI11,Outros,"R$ 94,50",20991.0,"R$ 1,10","1,15%","3,28%","6,35%","11,96%","1,09%","1,06%","1,00%","2,28%","-2,35%","-1,23%","-0,12%","R$ 653.897.742,25","R$ 94,93","1,00","1,16%","-0,24%","0,92%","2,08%",N/A,N/A,0
107,RBVA11,Outros,"R$ 91,79",5783.0,"R$ 0,92","0,98%","2,80%","5,51%","10,43%","0,93%","0,92%","0,87%","1,91%","-4,55%","-3,62%","-2,72%","R$ 1.194.185.478,87","R$ 103,05","0,89","0,89%","-0,04%","0,85%","1,75%","0,70%",N/A,72
108,SARE11,Híbrido,"R$ 69,02",10688.0,"R$ 0,62","0,89%","2,68%","5,26%","9,17%","0,89%","0,88%","0,76%","1,76%","-3,78%","-2,92%","-2,07%","R$ 914.143.858,69","R$ 98,99","0,70","0,63%","-0,21%","0,42%","1,05%","1,10%",N/A,3
109,ABCP11,Shoppings,"R$ 73,64",397.0,"R$ 0,45","0,58%","2,45%","4,66%","7,28%","0,82%","0,78%","0,61%","1,62%","4,00%","4,60%","5,69%","R$ 1.120.197.062,39","R$ 91,79","0,80","0,49%","0,06%","0,55%","1,39%","7,50%",N/A,1
110,NEWL11,Híbrido,"R$ 101,00",633.0,"R$ 0,80","0,79%","2,89%","5,26%","10,31%","0,96%","0,88%","0,86%","1,57%","-1,05%","-0,26%","0,52%","R$ 235.919.786,47","R$ 116,04","0,87","0,69%","0,22%","0,91%","1,61%","0,00%",N/A,2
111,BCRI11,Títulos e Val. Mob.,"R$ 110,42",12346.0,"R$ 1,20","1,08%","3,46%","6,62%","13,35%","1,15%","1,10%","1,11%","2,21%","-0,18%","0,90%","2,04%","R$ 667.338.209,03","R$ 106,64","1,04","1,13%","-0,05%","1,07%","2,25%",N/A,N/A,0
112,XPCM11,Lajes Corporativas,"R$ 16,86",5405.0,"R$ 0,16","0,92%","2,20%","4,93%","9,93%","0,73%","0,82%","0,83%","1,70%","-8,78%","-7,95%","-7,22%","R$ 131.409.546,95","R$ 54,42","0,31","0,29%","-0,49%","-0,20%","0,07%","100,00%",N/A,1
113,SPVJ11,Outros,N/A,N/A,"R$ 0,66","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 679.321.344,40","R$ 107,62",N/A,"0,61%","-0,04%","0,58%","1,18%",N/A,N/A,0
114,SADI11,Títulos e Val. Mob.,"R$ 88,34",3511.0,"R$ 0,85","0,95%","2,67%","4,56%","6,73%","0,89%","0,76%","0,56%","1,84%","-0,78%","0,17%","1,06%","R$ 318.965.276,86","R$ 100,30","0,88","0,85%","-0,22%","0,63%","1,43%",N/A,N/A,0
115,SHPH11,Shoppings,"R$ 829,21",46.0,"R$ 4,15","0,51%","1,60%","2,87%","4,75%","0,53%","0,48%","0,40%","1,11%","0,46%","0,97%","1,57%","R$ 540.581.783,78","R$ 887,73","0,93","0,47%","-0,07%","0,39%","0,94%","10,80%",N/A,1
116,RBRS11,Híbrido,"R$ 62,01",57.0,"R$ 0,42","0,65%","1,92%","3,75%","7,05%","0,64%","0,62%","0,59%","1,27%","-4,52%","-3,90%","-3,31%","R$ 129.973.749,99","R$ 93,54","0,66","0,45%","0,04%","0,49%","0,94%",N/A,N/A,0
117,ATSA11,Shoppings,"R$ 96,00",8.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 155.689.321,16","R$ 88,91","1,08",N/A,N/A,N/A,N/A,"21,10%",N/A,1
118,SPTW11,Lajes Corporativas,"R$ 43,92",4090.0,"R$ 0,40","0,91%","2,65%","6,63%","21,80%","0,88%","1,10%","1,82%","1,79%","-2,69%","-1,81%","-0,94%","R$ 95.059.905,19","R$ 52,87","0,83","0,76%","0,12%","0,88%","1,64%","0,00%",N/A,1
119,HUSC11,Outros,"R$ 94,00",230.0,"R$ 0,47","0,47%","1,31%","3,13%","6,64%","0,44%","0,52%","0,55%","0,83%","-10,74%","-10,33%","-10,01%","R$ 113.395.965,68","R$ 142,71","0,66","0,33%","0,22%","0,55%","0,83%",N/A,N/A,0
120,VISC11,Shoppings,"R$ 97,31",20019.0,"R$ 0,68","0,68%","2,14%","3,96%","6,05%","0,71%","0,66%","0,50%","1,36%","-0,51%","0,17%","0,85%","R$ 2.055.228.227,11","R$ 116,14","0,84","0,59%","0,03%","0,62%","1,21%","7,40%",N/A,15
121,BNFS11,Outros,"R$ 120,08",1543.0,"R$ 1,25","1,00%","3,03%","6,02%","11,25%","1,01%","1,00%","0,94%","2,03%","-1,70%","-0,72%","0,30%","R$ 69.411.063,62","R$ 99,16","1,21","1,26%","0,08%","1,34%","2,68%","0,00%",N/A,18
122,PLRI11,Títulos e Val. Mob.,"R$ 40,41",160.0,"R$ 1,21","2,95%","6,21%","7,66%","10,66%","2,07%","1,28%","0,89%","5,69%","7,87%","11,05%","14,10%","R$ 38.359.793,29","R$ 40,20","1,01","3,01%","-4,43%","-1,55%","0,89%",N/A,N/A,0
123,IDFI11,Híbrido,"R$ 102,00",10.0,"R$ 1,03","1,01%","4,41%","0,00%","0,00%","1,47%","0,00%","0,00%","2,75%","0,05%","1,06%","2,81%","R$ 209.244.750,35","R$ 101,68","1,00","1,74%","0,00%","1,74%","1,74%",N/A,N/A,0
124,TEPP11,Lajes Corporativas,"R$ 66,27",2035.0,"R$ 0,47","0,66%","1,98%","4,04%","7,28%","0,66%","0,67%","0,61%","1,30%","-2,71%","-2,07%","-1,44%","R$ 383.223.626,19","R$ 90,77","0,73","0,52%","-0,29%","0,23%","0,23%","13,64%","13,22%",5
125,PORD11,Títulos e Val. Mob.,"R$ 93,05",13066.0,"R$ 1,10","1,17%","3,54%","6,70%","12,15%","1,18%","1,12%","1,01%","2,42%","0,77%","1,95%","3,22%","R$ 368.656.944,24","R$ 98,88","0,94","1,11%","-0,43%","0,67%","1,86%",N/A,N/A,0
126,HSRE11,Híbrido,"R$ 100,00",5.0,"R$ 0,56","0,56%","2,00%","3,72%","5,40%","0,67%","0,62%","0,45%","1,12%","0,00%","0,56%","1,12%","R$ 828.219.452,76","R$ 97,23","1,03","0,58%","0,02%","0,60%","1,18%","0,00%",N/A,29
127,STRX11,Híbrido,N/A,N/A,"R$ 1,02","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 227.589.678,15","R$ 141,05",N/A,"0,72%","-0,03%","0,70%","1,21%",N/A,N/A,0
128,LGCP11,Logística,"R$ 79,80",2927.0,"R$ 0,60","0,76%","2,15%","4,20%","7,77%","0,72%","0,70%","0,65%","1,48%","-3,88%","-3,15%","-2,46%","R$ 278.915.521,65","R$ 102,06","0,78","0,59%","0,01%","0,60%","1,18%","0,50%",N/A,5
129,BTSG11,Híbrido,N/A,N/A,"R$ 0,79","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 103.251.803,65","R$ 133,23",N/A,"0,59%","-0,01%","0,59%","1,18%",N/A,N/A,0
130,BICR11,Títulos e Val. Mob.,"R$ 93,93",6.0,"R$ 0,64","0,78%","1,88%","3,70%","5,78%","0,63%","0,62%","0,48%","1,29%","-13,07%","-12,39%","-11,95%","R$ 49.602.740,27","R$ 99,21","0,95","0,65%","-0,30%","0,34%","0,83%",N/A,N/A,0
131,BBRC11,Outros,"R$ 95,62",1196.0,"R$ 0,92","0,95%","2,69%","5,41%","10,02%","0,90%","0,90%","0,83%","1,85%","-3,43%","-2,51%","-1,64%","R$ 171.531.232,54","R$ 107,88","0,89","0,85%","0,22%","1,07%","1,92%","5,40%","1,10%",20
132,ITIP11,Títulos e Val. Mob.,"R$ 82,00",397.0,"R$ 0,95","1,15%","3,59%","6,81%","0,00%","1,20%","1,13%","0,00%","2,40%","1,23%","2,40%","3,67%","R$ 65.564.829,02","R$ 87,64","0,94","1,08%","-1,42%","-0,35%","0,78%",N/A,N/A,0
133,FIIP11B,Logística,"R$ 162,69",260.0,"R$ 1,28","0,78%","2,30%","4,60%","8,36%","0,77%","0,77%","0,70%","1,57%","0,60%","1,38%","2,19%","R$ 186.007.628,32","R$ 200,62","0,81","0,64%","0,09%","0,73%","1,39%","0,00%",N/A,7
134,VSHO11,Shoppings,"R$ 78,75",22.0,"R$ 0,57","0,72%","2,20%","4,45%","7,43%","0,73%","0,74%","0,62%","1,45%","0,64%","1,36%","2,10%","R$ 214.179.736,47","R$ 102,05","0,77","0,56%","0,08%","0,64%","1,20%","12,96%",N/A,3
135,VCRR11,Residencial,"R$ 70,00",4846.0,"R$ 0,67","0,90%","2,62%","5,23%","0,00%","0,87%","0,87%","0,00%","1,76%","-3,83%","-2,97%","-2,13%","R$ 239.243.565,92","R$ 119,62","0,59","0,56%","-0,01%","0,55%","1,11%",N/A,N/A,0
136,GTWR11,Lajes Corporativas,"R$ 77,00",5252.0,"R$ 0,74","0,91%","2,62%","5,15%","9,05%","0,87%","0,86%","0,75%","1,79%","-3,97%","-3,09%","-2,24%","R$ 1.182.472.616,64","R$ 98,54","0,78","0,75%","0,02%","0,78%","1,53%","0,00%","0,00%",1
137,GALG11,Híbrido,"R$ 93,01",7116.0,"R$ 0,82","0,84%","2,49%","4,98%","9,59%","0,83%","0,83%","0,80%","1,68%","-1,93%","-1,11%","-0,28%","R$ 624.578.657,94","R$ 108,65","0,86","0,75%","-0,49%","0,26%","1,03%","0,00%","0,00%",6
138,VOTS11,Títulos e Val. Mob.,"R$ 86,00",2.0,"R$ 1,08","1,27%","3,19%","5,52%","9,55%","1,06%","0,92%","0,80%","2,32%","1,26%","2,55%","3,62%","R$ 80.785.126,38","R$ 97,58","0,88","1,11%","-0,17%","0,94%","1,85%",N/A,N/A,0
139,RDPD11,Títulos e Val. Mob.,"R$ 55,99",825.0,"R$ 0,60","1,02%","2,81%","5,17%","9,46%","0,94%","0,86%","0,79%","2,00%","3,87%","4,93%","5,97%","R$ 64.421.516,24","R$ 59,76","0,94","1,00%","0,79%","1,80%","2,76%",N/A,N/A,0
140,RBVO11,Outros,"R$ 12,36",197.0,"R$ 0,07","0,54%","1,33%","2,18%","3,68%","0,44%","0,36%","0,31%","0,91%","5,04%","5,61%","6,00%","R$ 11.724.556,69","R$ 22,73","0,54","0,20%","0,00%","0,20%","0,20%",N/A,N/A,0
141,XPSF11,Outros,"R$ 70,48",7608.0,"R$ 0,66","0,91%","2,58%","5,30%","10,12%","0,86%","0,88%","0,84%","1,73%","-9,06%","-8,23%","-7,48%","R$ 370.250.982,09","R$ 85,50","0,82","0,77%","-2,97%","-2,22%","-1,50%",N/A,N/A,0
142,RBCO11,Lajes Corporativas,"R$ 48,91",1013.0,"R$ 0,35","0,71%","2,07%","4,45%","8,42%","0,69%","0,74%","0,70%","1,34%","-10,96%","-10,33%","-9,76%","R$ 326.365.137,53","R$ 86,36","0,57","0,41%","-13,83%","-13,48%","-13,48%","46,00%","50,00%",4
143,RRCI11,Títulos e Val. Mob.,"R$ 87,20",898.0,"R$ 1,20","1,38%","3,90%","7,23%","12,26%","1,30%","1,20%","1,02%","2,68%","1,63%","3,03%","4,38%","R$ 47.043.754,10","R$ 97,65","0,89","1,23%","0,29%","1,52%","2,69%",N/A,N/A,0
144,CXTL11,Logística,"R$ 283,00",33.0,"R$ 0,48","0,16%","0,67%","1,29%","0,00%","0,22%","0,22%","0,00%","0,42%","-6,12%","-5,97%","-5,73%","R$ 37.047.298,50","R$ 691,22","0,41","0,11%","0,00%","0,11%","0,11%","61,00%",N/A,3
145,RBHY11,Títulos e Val. Mob.,"R$ 100,05",1251.0,"R$ 1,30","1,29%","4,30%","8,45%","11,24%","1,43%","1,41%","0,94%","2,36%","-1,75%","-0,49%","0,58%","R$ 154.036.155,41","R$ 97,39","1,03","1,33%","-0,11%","1,22%","2,36%",N/A,N/A,0
146,FPAB11,Lajes Corporativas,"R$ 216,00",10.0,"R$ 1,45","0,66%","2,01%","3,79%","6,68%","0,67%","0,63%","0,56%","1,32%","-0,80%","-0,14%","0,52%","R$ 307.189.405,71","R$ 409,59","0,53","0,35%","0,00%","0,35%","0,71%","36,63%",N/A,1
147,BBFO11,Títulos e Val. Mob.,"R$ 72,48",822.0,"R$ 0,74","0,99%","2,97%","5,57%","9,31%","0,99%","0,93%","0,78%","2,10%","3,36%","4,38%","5,55%","R$ 339.529.116,07","R$ 84,80","0,85","0,87%","-2,14%","-1,29%","-0,37%",N/A,N/A,0
148,PATC11,Lajes Corporativas,"R$ 68,70",1671.0,"R$ 0,30","0,44%","1,37%","2,79%","5,57%","0,46%","0,46%","0,46%","0,90%","3,28%","3,74%","4,22%","R$ 300.857.960,49","R$ 86,52","0,79","0,35%","0,29%","0,64%","0,99%","21,90%","16,20%",6
149,AIEC11,Lajes Corporativas,"R$ 77,40",6846.0,"R$ 0,68","0,88%","2,49%","4,95%","9,01%","0,83%","0,83%","0,75%","1,66%","-1,52%","-0,65%","0,12%","R$ 491.831.341,80","R$ 101,93","0,76","0,67%","0,03%","0,69%","1,30%","0,00%",N/A,2
150,EDFO11B,Lajes Corporativas,"R$ 219,00",15.0,"R$ 1,46","0,68%","2,04%","3,95%","7,18%","0,68%","0,66%","0,60%","1,34%","-0,86%","-0,18%","0,47%","R$ 45.269.907,63","R$ 191,82","1,14","0,76%","0,03%","0,79%","1,53%","7,10%",N/A,1
151,MFAI11,Híbrido,"R$ 73,30",196.0,"R$ 0,83","1,10%","3,84%","6,32%","11,22%","1,28%","1,05%","0,94%","2,41%","0,56%","1,67%","3,00%","R$ 24.142.314,72","R$ 79,63","0,92","1,04%","-4,05%","-3,05%","-1,90%",N/A,N/A,0
152,HBRH11,Híbrido,"R$ 84,05",114.0,"R$ 0,79","0,93%","2,79%","5,91%","9,97%","0,93%","0,98%","0,83%","1,76%","-5,86%","-4,98%","-4,20%","R$ 311.924.582,28","R$ 112,52","0,75","0,71%","0,05%","0,76%","1,29%",N/A,N/A,3
153,RFOF11,Títulos e Val. Mob.,"R$ 67,90",1768.0,"R$ 0,65","0,94%","2,68%","5,20%","9,76%","0,89%","0,87%","0,81%","1,83%","-6,41%","-5,53%","-4,70%","R$ 89.666.823,28","R$ 83,17","0,82","0,78%","-3,82%","-3,07%","-3,07%",N/A,N/A,0
154,QAGR11,Outros,"R$ 48,99",13074.0,"R$ 0,39","0,77%","2,29%","4,59%","8,99%","0,76%","0,76%","0,75%","0,77%","0,00%","0,77%","0,77%","R$ 300.920.810,23","R$ 59,71","0,82",N/A,N/A,N/A,N/A,N/A,N/A,12
155,RBLG11,Logística,"R$ 87,00",38.0,"R$ 0,80","0,92%","2,72%","5,19%","7,80%","0,91%","0,87%","0,65%","0,92%","0,00%","0,92%","0,92%","R$ 65.767.433,36","R$ 102,73","0,85","0,78%","0,00%","0,78%","0,78%","0,00%",N/A,1
156,GGRC11,Logística,"R$ 101,65",15146.0,"R$ 0,85","0,81%","2,28%","4,43%","8,21%","0,76%","0,74%","0,68%","1,56%","-10,31%","-9,58%","-8,90%","R$ 1.024.952.664,93","R$ 132,11","0,77","0,64%","0,05%","0,69%","1,35%","0,00%","0,00%",15
157,CRFF11,Títulos e Val. Mob.,"R$ 64,50",847.0,"R$ 0,51","0,76%","2,24%","4,00%","7,50%","0,75%","0,67%","0,63%","1,49%","-3,04%","-2,31%","-1,59%","R$ 58.267.509,98","R$ 84,44","0,76","0,60%","-1,47%","-0,87%","-0,28%",N/A,N/A,0
158,CXRI11,Híbrido,"R$ 65,50",86.0,"R$ 0,51","0,78%","2,33%","4,25%","7,67%","0,78%","0,71%","0,64%","1,52%","-5,87%","-5,13%","-4,43%","R$ 131.175.731,07","R$ 83,25","0,79","0,61%","-1,81%","-1,21%","-0,61%",N/A,N/A,0
159,XPHT11,Hotel,"R$ 95,00",5561.0,"R$ 0,34","0,40%","1,05%","2,23%","0,00%","0,35%","0,37%","0,00%","1,05%","-18,27%","-17,94%","-16,89%","R$ 357.852.662,83","R$ 94,06","1,01",N/A,N/A,N/A,N/A,"64,90%",N/A,5
160,BREV11,Híbrido,"R$ 95,50",1.0,"R$ 0,55","0,58%","1,73%","3,42%","6,42%","0,58%","0,57%","0,54%","1,16%","0,01%","0,59%","1,18%","R$ 106.246.348,14","R$ 109,85","0,87","0,50%","0,02%","0,52%","1,03%","0,00%",N/A,12
161,SCPF11,Shoppings,"R$ 7,58",596.0,"R$ 0,01","0,08%","1,18%","1,90%","2,98%","0,39%","0,32%","0,25%","0,79%","0,00%","0,08%","0,79%","R$ 52.564.919,55","R$ 12,52","0,61","0,05%","0,18%","0,23%","0,68%","28,50%",N/A,1
162,FLMA11,Híbrido,"R$ 117,20",529.0,"R$ 0,67","0,58%","1,86%","3,14%","5,27%","0,62%","0,52%","0,44%","1,19%","-1,40%","-0,83%","-0,22%","R$ 216.387.877,66","R$ 156,73","0,75","0,43%","0,05%","0,48%","0,94%","11,00%",N/A,2
163,FATN11,Híbrido,"R$ 99,99",2.0,"R$ 0,76","0,79%","2,34%","4,50%","8,47%","0,78%","0,75%","0,71%","1,54%","-5,85%","-5,11%","-4,40%","R$ 82.067.257,62","R$ 101,18","0,99","0,75%","0,00%","0,75%","0,75%","0,00%",N/A,7
164,BIME11,,"R$ 9,54",6813.0,"R$ 0,11","1,16%","3,25%","0,00%","0,00%","1,08%","0,00%","0,00%","2,19%","-1,96%","-0,83%","0,20%","R$ 55.631.464,69","R$ 9,52","1,00","1,16%","-1,79%","-0,65%","0,37%",N/A,N/A,0
165,BLMR11,Títulos e Val. Mob.,"R$ 7,28",33357.0,"R$ 0,08","1,00%","2,98%","5,59%","10,21%","0,99%","0,93%","0,85%","1,94%","-6,01%","-5,07%","-4,18%","R$ 210.671.380,00","R$ 8,25","0,88","0,91%","-2,59%","-1,70%","-0,83%",N/A,N/A,0
166,ONEF11,Lajes Corporativas,"R$ 149,22",994.0,"R$ 0,90","0,58%","1,84%","3,38%","6,29%","0,61%","0,56%","0,52%","1,84%","6,69%","7,31%","15,69%","R$ 159.253.501,27","R$ 174,81","0,85","0,51%","0,02%","0,53%","1,03%","0,00%",N/A,1
167,RCRB11,Lajes Corporativas,"R$ 122,66",3834.0,"R$ 0,55","0,44%","1,28%","3,28%","6,52%","0,43%","0,55%","0,54%","1,28%","-3,47%","-3,05%","-1,83%","R$ 724.449.056,71","R$ 196,29","0,62","0,28%","-0,17%","0,11%","0,39%","21,90%",N/A,10
168,MBRF11,Outros,"R$ 715,00",21.0,"R$ 9,50","1,36%","3,93%","7,39%","12,52%","1,31%","1,23%","1,04%","3,93%","1,58%","2,97%","-8,60%","R$ 113.563.302,07","R$ 1.117,05","0,64","0,85%","0,07%","0,92%","1,78%","0,00%",N/A,2
169,HTMX11,Hotel,"R$ 74,50",1808.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 161.517.402,88","R$ 128,49","0,58",N/A,N/A,N/A,N/A,"47,00%",N/A,23
170,EQIN11,Títulos e Val. Mob.,"R$ 93,50",7984.0,"R$ 1,33","1,41%","3,80%","7,24%","12,59%","1,27%","1,21%","1,05%","2,80%","0,23%","1,65%","3,07%","R$ 137.821.478,59","R$ 94,85","0,99","1,38%","0,00%","1,38%","1,38%",N/A,N/A,0
171,GSFI11,Shoppings,"R$ 4,32",18138.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 1.009.460.145,38","R$ 13,42","0,32",N/A,N/A,N/A,N/A,"10,30%",N/A,10
172,CEOC11,Lajes Corporativas,"R$ 56,20",232.0,"R$ 0,49","0,87%","2,42%","4,80%","8,78%","0,81%","0,80%","0,73%","1,69%","-2,71%","-1,86%","-1,06%","R$ 164.257.961,42","R$ 90,47","0,62","0,52%","0,00%","0,52%","0,52%","0,00%",N/A,1
173,NEWU11,Lajes Corporativas,"R$ 33,81",376.0,"R$ 0,00","0,00%","0,00%","0,56%","16,63%","0,00%","0,09%","1,39%","0,61%","-4,04%","-4,04%","-31,62%","R$ 48.320.261,53","R$ 65,12","0,52",N/A,N/A,N/A,N/A,"63,20%",N/A,3
174,PRSV11,Lajes Corporativas,"R$ 116,00",7.0,"R$ 1,62","0,42%","1,53%","2,91%","5,95%","0,51%","0,48%","0,50%","4,46%","5,30%","5,74%","-11,25%","R$ 46.748.513,01","R$ 239,74","0,48",N/A,N/A,N/A,N/A,"40,90%",N/A,2
175,FAMB11B,Lajes Corporativas,"R$ 835,01",13.0,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","8,82%","-47,80%","-47,51%","-47,80%","R$ 327.197.260,70","R$ 3.122,11","0,27",N/A,N/A,N/A,N/A,"100,00%",N/A,1
176,FMOF11,Lajes Corporativas,"R$ 66,98",2.0,"R$ 0,64",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 62.393.527,40","R$ 122,82","0,55",N/A,N/A,N/A,N/A,"52,08%",N/A,1
177,HGRS11,Residencial,N/A,N/A,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 109.990.399,80","R$ 92,09",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
178,KNRE11,Residencial,"R$ 0,94",2756.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 9.431.481,23","R$ 0,51","1,85",N/A,N/A,N/A,N/A,N/A,N/A,0
179,BRCR11,Híbrido,"R$ 66,25",26804.0,"R$ 0,50","0,74%","2,15%","4,22%","7,63%","0,72%","0,70%","0,64%","0,74%","0,00%","0,74%","0,74%","R$ 2.809.345.315,52","R$ 105,46","0,63","0,47%","0,00%","0,47%","0,47%","27,30%","21,20%",15
180,JRDM11,Shoppings,"R$ 74,00",1241.0,"R$ 0,41","0,54%","2,57%","4,25%","6,39%","0,86%","0,71%","0,53%","0,54%","0,00%","0,54%","0,54%","R$ 220.413.917,32","R$ 87,36","0,85",N/A,N/A,N/A,N/A,"2,77%",N/A,1
181,MAXR11,Outros,"R$ 79,90",768.0,"R$ 0,30","0,36%","1,99%","4,37%","8,92%","0,66%","0,73%","0,74%","0,36%","0,00%","0,36%","0,36%","R$ 135.301.916,97","R$ 120,20","0,66",N/A,N/A,N/A,N/A,"2,80%",N/A,8
182,DVFF11,Híbrido,"R$ 78,57",44.0,"R$ 0,70","0,84%","2,37%","0,00%","0,00%","0,79%","0,00%","0,00%","1,64%","-5,70%","-4,91%","-4,15%","R$ 99.876.793,87","R$ 90,72","0,87","0,77%","-1,31%","-0,55%","0,21%",N/A,N/A,0
