,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
239,DRIT11B,Lajes Corporativas,"R$ 87,00",14.0,"R$ 0,33","0,28%","0,80%","0,00%","0,00%","0,27%","0,00%","0,00%","1,28%","5,78%","6,07%","-7,42%","R$ 58.245.835,32","R$ 125,73","0,69",N/A,N/A,N/A,N/A,"10,47%",N/A,6
240,CTXT11,Lajes Corporativas,"R$ 21,71",410.0,"R$ 0,09","0,39%","0,78%","1,36%","5,53%","0,26%","0,23%","0,46%","1,36%","-2,58%","-2,20%","-39,31%","R$ 118.462.423,71","R$ 40,81","0,53",N/A,N/A,N/A,N/A,"97,00%",N/A,1
241,GESE11B,Outros,"R$ 1.520,00",300.0,"R$ 12,60","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 85.824.028,11","R$ 1.650,46","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
242,XPIN11,Outros,"R$ 83,48",5446.0,"R$ 0,63","0,74%","2,11%","4,18%","7,76%","0,70%","0,70%","0,65%","0,74%","0,00%","0,74%","0,74%","R$ 781.411.670,94","R$ 109,28","0,76","0,56%","-0,44%","0,11%","0,69%","17,30%","12,00%",5
243,SRVD11,Títulos e Val. Mob.,"R$ 9,02",6.0,"R$ 0,10","1,01%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,01%","0,00%","1,01%","1,01%","R$ 114.261.426,47","R$ 1,19","7,60",N/A,N/A,N/A,N/A,N/A,N/A,0
244,SNFF11,Títulos e Val. Mob.,"R$ 80,51",5976.0,"R$ 0,65","0,79%","2,24%","4,45%","0,00%","0,75%","0,74%","0,00%","1,53%","-7,03%","-6,29%","-5,60%","R$ 230.710.296,21","R$ 92,28","0,87","0,70%","0,00%","0,70%","0,70%",N/A,N/A,0
245,SNCI11,Títulos e Val. Mob.,"R$ 101,69",24330.0,"R$ 1,40","1,35%","3,84%","0,00%","0,00%","1,28%","0,00%","0,00%","2,69%","-0,57%","0,77%","2,12%","R$ 165.067.815,78","R$ 98,95","1,03","1,41%","-0,27%","1,14%","2,57%",N/A,N/A,0
246,AFHI11,Títulos e Val. Mob.,"R$ 100,68",5029.0,"R$ 1,30","1,27%","3,83%","7,43%","0,00%","1,28%","1,24%","0,00%","2,54%","-0,10%","1,17%","2,46%","R$ 173.063.751,55","R$ 96,81","1,04","1,34%","0,00%","1,34%","1,34%",N/A,N/A,0
247,OULG11,Outros,"R$ 45,60",1063.0,"R$ 0,17","0,38%","1,67%","4,37%","8,69%","0,56%","0,73%","0,72%","0,73%","-4,82%","-4,46%","-4,12%","R$ 183.004.418,34","R$ 73,75","0,62","0,23%","-0,08%","0,15%","0,38%","0,00%",N/A,2
248,OUFF11,Títulos e Val. Mob.,"R$ 63,10",5875.0,"R$ 0,68","1,04%","3,01%","5,84%","10,82%","1,00%","0,97%","0,90%","2,08%","0,08%","1,11%","2,16%","R$ 142.270.680,02","R$ 78,41","0,80","0,87%","-1,60%","-0,75%","0,10%",N/A,N/A,0
249,OURE11,Títulos e Val. Mob.,"R$ 81,00",1672.0,"R$ 0,80","0,97%","3,17%","6,99%","12,42%","1,06%","1,17%","1,04%","1,84%","-4,57%","-3,64%","-2,80%","R$ 99.122.277,31","R$ 92,03","0,88","0,87%","-0,46%","0,41%","1,22%",N/A,N/A,0
250,RBIR11,Residencial,"R$ 70,00",501.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 147.007.247,60","R$ 96,17","0,73",N/A,N/A,N/A,N/A,N/A,N/A,0
251,CARE11,Híbrido,"R$ 2,75",11701.0,"R$ 0,00","0,23%","0,66%","1,36%","1,60%","0,22%","0,23%","0,13%","1,36%","-2,63%","-2,41%","5,65%","R$ 284.526.894,35","R$ 7,95","0,35",N/A,N/A,N/A,N/A,N/A,N/A,0
252,AFOF11,Títulos e Val. Mob.,"R$ 93,10",478.0,"R$ 1,00","1,07%","3,11%","6,25%","0,00%","1,04%","1,04%","0,00%","2,14%","3,50%","4,61%","5,72%","R$ 69.843.469,38","R$ 101,05","0,92","0,99%","1,26%","2,26%","3,24%",N/A,N/A,0
253,RECX11,Outros,"R$ 84,84",16.0,"R$ 1,00","1,15%","3,34%","6,43%","0,00%","1,11%","1,07%","0,00%","2,21%","-8,71%","-7,66%","-6,68%","R$ 19.208.298,22","R$ 87,99","0,96","1,14%","0,00%","1,14%","1,14%",N/A,N/A,0
254,BTLG11,Logística,"R$ 103,90",29448.0,"R$ 0,72","0,70%","2,08%","4,15%","7,92%","0,69%","0,69%","0,66%","1,40%","0,77%","1,48%","2,19%","R$ 1.508.161.155,35","R$ 99,03","1,05","0,73%","0,00%","0,73%","0,73%",N/A,"2,00%",16
255,BLMC11,Outros,"R$ 98,47",9.0,"R$ 1,10","1,12%","3,36%","6,68%","9,98%","1,12%","1,11%","0,83%","2,24%","0,26%","1,38%","2,52%","R$ 38.715.880,93","R$ 96,91","1,02","1,14%","-3,64%","-2,55%","-1,48%",N/A,N/A,0
256,CORM11,Híbrido,"R$ 95,45",2006.0,"R$ 0,81","0,85%","2,75%","5,87%","0,00%","0,92%","0,98%","0,00%","1,71%","0,00%","0,85%","1,71%","R$ 87.421.299,18","R$ 95,30","1,00","0,85%","0,00%","0,85%","0,85%",N/A,N/A,0
257,ARCT11,Híbrido,"R$ 109,99",12060.0,"R$ 1,65","1,50%","4,45%","8,67%","14,61%","1,48%","1,45%","1,22%","2,87%","0,33%","1,84%","3,23%","R$ 287.765.894,46","R$ 99,96","1,10","1,50%","0,00%","1,50%","1,50%",N/A,N/A,4
